n,X,H,C_centered,E_centered,identity_err
3402,11580408,-688.0,219.46914523059968,453.7345726153228,4.5929482439532876e-11
3403,11587215,-750.0,163.9893192739546,456.99465963717853,4.0245140553452075e-10
3404,11594024,-771.0,220.26752514200052,495.63376257114396,2.874003257602453e-10
3405,11600835,-663.0,228.52230513241375,445.76115256628145,1.4915713109076023e-10
3406,11607648,-730.0,264.98933242610656,497.49466621301553,7.548806024715304e-11
3407,11614463,-814.0,305.2766884908633,559.6383442454046,5.411493475548923e-11
3408,11621280,-934.0,262.5442678037216,598.2721339017824,1.5688783605583012e-10
3409,11628099,-1003.0,271.93872323303367,637.4693616165152,3.183231456205249e-12
3410,11634920,-974.0,267.705479545446,620.8527397727878,1.2960299500264227e-10
3411,11641743,-858.0,220.39937714260304,539.1996885713118,2.0463630789890885e-11
3412,11648568,-898.0,265.04332094918936,581.5216604746504,1.1141310096718371e-10
3413,11655395,-990.0,287.8898197153467,638.9449098577213,9.595169103704393e-11
3414,11662224,-964.0,235.53424601715233,599.7671230085796,6.821210263296962e-12
3415,11669055,-846.0,240.248089395609,543.124044697872,1.3505996321327984e-10
3416,11675888,-864.0,337.0361818987294,600.5180909494636,1.978150976356119e-10
3417,11682723,-805.0,178.785276625611,491.89263831283824,6.548361852765083e-11
3418,11689560,-878.0,165.54089228058,521.7704461404176,2.5511326384730637e-10
3419,11696399,-917.0,182.6006507818238,549.8003253909942,1.646185410209e-10
3420,11703240,-923.0,180.6378339522489,551.8189169760908,6.730260793119669e-11
3421,11710083,-902.0,56.911988693711464,479.4559943469271,1.4279066817834973e-10
3422,11716928,-930.0,99.66647046842263,514.8332352342225,2.2282620193436742e-11
3423,11723775,-931.0,167.09850185962569,549.0492509299656,3.055902197957039e-10
3424,11730624,-858.0,236.74421199066273,547.3721059953432,2.3646862246096134e-11
3425,11737475,-952.0,242.74433820422564,597.3721691021588,9.185896487906575e-11
3426,11744328,-915.0,200.68041948063183,557.8402097404319,2.319211489520967e-10
3427,11751183,-994.0,248.3099912830803,621.1549956415206,3.9108272176235914e-11
3428,11758040,-950.0,214.52760879902053,582.263804399526,3.1377567211166024e-11
3429,11764899,-927.0,229.04295820467814,578.0214791023902,1.0231815394945443e-10
3430,11771760,-874.0,206.8425906751363,540.4212953376145,9.276845958083868e-11
3431,11778623,-840.0,144.26903725675947,492.13451862845113,1.4279066817834973e-10
3432,11785488,-913.0,175.5269123253529,544.263456162674,5.002220859751105e-12
3433,11792355,-809.0,156.47023394386633,482.73511697198455,1.0277290130034089e-10
3434,11799224,-852.0,175.2298311231425,513.6149155615572,2.8194335754960775e-11
3435,11806095,-919.0,231.48561213006906,575.2428060651171,1.6507328837178648e-10
3436,11812968,-881.0,260.2538667576737,570.6269333789273,1.8098944565281272e-10
3437,11819843,-847.0,209.31047742762894,528.1552387137986,3.183231456205249e-11
3438,11826720,-758.0,204.61435904938844,481.3071795248063,2.241904439870268e-10
3439,11833599,-639.0,146.70065548039565,392.8503277402483,1.0095391189679503e-10
3440,11840480,-709.0,82.79531472644885,395.8976573632672,8.549250196665525e-11
3441,11847363,-622.0,87.02693447779166,354.51346723890083,1.000444171950221e-11
3442,11854248,-549.0,133.10935966586112,341.0546798330788,2.964952727779746e-10
3443,11861135,-610.0,173.00961904787982,391.50480952401017,1.405169314239174e-10
3444,11868024,-569.0,184.3699260797439,376.6849630399088,7.366907084360719e-11
3445,11874915,-585.0,198.00584869273007,391.5029243463878,4.547473508864641e-11
3446,11881808,-657.0,197.89644626514928,427.4482231326833,2.1736923372372985e-10
3447,11888703,-611.0,223.11631224783196,417.0581561239619,9.185896487906575e-11
3448,11895600,-606.0,204.6701541182265,405.3350770592358,2.4510882212780416e-10
3449,11902499,-653.0,263.3660048279271,458.1830024140454,1.6370904631912708e-10
3450,11909400,-623.0,219.43073979538167,421.2153698978361,2.9058355721645057e-10
3451,11916303,-620.0,180.55913296015933,400.2795664800208,1.177795638795942e-10
3452,11923208,-677.0,61.309777321032016,369.154888660544,5.5933924159035087e-11
3453,11930115,-820.0,159.7774046358827,489.8887023180573,2.319211489520967e-10
3454,11937024,-751.0,77.47538737373543,414.2376936868625,1.0459189070388675e-11
3455,11943935,-750.0,117.42881793077686,433.71440896553054,2.842170943040401e-10
3456,11950848,-763.0,159.18623257843137,461.093116289298,1.646185410209e-10
3457,11957763,-831.0,162.68094269222638,496.8404713463515,4.765752237290144e-10
3458,11964680,-906.0,196.26716293912614,551.1335814696413,1.5643308870494366e-10
3459,11971599,-892.0,159.34842168662,525.6742108433577,9.549694368615746e-11
