type,m,b,gcd,H_or_m,abs_S,sqrt_2gm,ratio
complete,225,204,3,225,25.980762113531647,36.742346141747674,1.7320508075687764
complete,225,205,5,225,33.54101966249675,47.43416490252569,2.2360679774997836
complete,225,206,1,225,15.00000000000176,21.213203435596427,1.0000000000001175
complete,225,207,9,225,45.000000000001975,63.63961030678928,3.000000000000132
complete,225,208,1,225,14.99999999999963,21.213203435596427,0.9999999999999754
complete,225,209,1,225,15.00000000000018,21.213203435596427,1.000000000000012
complete,225,210,15,225,58.094750193109334,82.15838362577492,3.872983346207289
complete,225,211,1,225,15.000000000000746,21.213203435596427,1.0000000000000497
complete,225,212,1,225,15.00000000000118,21.213203435596427,1.0000000000000786
complete,225,213,3,225,25.980762113532496,36.742346141747674,1.732050807568833
complete,225,214,1,225,15.000000000000782,21.213203435596427,1.0000000000000522
complete,225,215,5,225,33.54101966249873,47.43416490252569,2.236067977499915
complete,225,216,9,225,45.000000000000554,63.63961030678928,3.000000000000037
complete,225,217,1,225,14.999999999997645,21.213203435596427,0.999999999999843
complete,225,218,1,225,15.00000000000109,21.213203435596427,1.0000000000000726
complete,225,219,3,225,25.980762113532013,36.742346141747674,1.7320508075688008
complete,225,220,5,225,33.54101966249641,47.43416490252569,2.2360679774997605
complete,225,221,1,225,15.000000000000576,21.213203435596427,1.0000000000000384
complete,225,222,3,225,25.980762113533363,36.742346141747674,1.7320508075688907
complete,225,223,1,225,15.000000000002405,21.213203435596427,1.0000000000001603
complete,225,224,1,225,15.00000000000362,21.213203435596427,1.0000000000002414
complete,441,1,1,441,21.0,29.698484809834994,1.0
complete,441,2,1,441,20.999999999999986,29.698484809834994,0.9999999999999993
complete,441,3,3,441,36.37306695894641,51.43928459844674,1.7320508075688767
complete,441,4,1,441,21.000000000000007,29.698484809834994,1.0000000000000004
complete,441,5,1,441,20.999999999999943,29.698484809834994,0.9999999999999973
complete,441,6,3,441,36.37306695894643,51.43928459844674,1.7320508075688776
complete,441,7,7,441,55.56077753235637,78.57480512225277,2.645751311064589
complete,441,8,1,441,20.99999999999993,29.698484809834994,0.9999999999999967
complete,441,9,9,441,62.99999999999993,89.09545442950498,2.9999999999999964
complete,441,10,1,441,21.000000000000043,29.698484809834994,1.000000000000002
